x,y,z,label
8.0000,0.0000,0.3500,4
8.0000,0.0000,0.3700,4
8.0000,0.0000,0.3900,4
8.0000,0.0000,0.4100,4
8.0000,0.0000,0.4300,4
8.0000,0.0000,0.4500,4
8.0000,0.0000,0.4700,4
8.0000,0.0000,0.4900,4
8.0000,0.0000,0.5100,4
8.0000,0.0000,0.5300,4
8.0000,0.0000,0.5500,4
8.0000,0.0000,0.5700,4
8.0000,0.0000,0.5900,4
8.0000,0.0000,0.6100,4
8.0000,0.0000,0.6300,4
8.0000,0.0000,0.6500,4
8.0000,0.0000,0.6700,4
8.0000,0.0000,0.6900,4
8.0000,0.0000,0.7100,4
8.0000,0.0000,0.7300,4
8.0000,0.0000,0.7500,4
8.0000,0.0000,0.7700,4
8.0000,0.0000,0.7900,4
8.0000,0.0000,0.8100,4
8.0000,0.0000,0.8300,4
8.0000,0.0000,0.8500,4
8.0000,0.0000,0.8700,4
8.0000,0.0000,0.8900,4
8.0000,0.0000,0.9100,4
8.0000,0.0000,0.9300,4
8.0000,0.0000,0.9500,4
8.0000,0.0000,0.9700,4
8.0000,0.0000,0.9900,4
8.0000,0.0000,1.0100,4
8.0000,0.0000,1.0300,4
8.0000,0.0000,1.0500,4
8.0000,0.0000,1.0700,4
8.0000,0.0000,1.0900,4
8.0000,0.0000,1.1100,4
8.0000,0.0000,1.1300,4
8.0000,0.0000,1.1500,4
8.0000,0.0000,1.1700,4
8.0000,0.0000,1.1900,4
8.0000,0.0000,1.2100,4
8.0000,0.0000,1.2300,4
20.0000,5.0000,0.3000,3
20.0000,5.0000,0.3500,3
20.0000,5.0000,0.4000,3
20.0000,5.0000,0.4500,3
20.0000,5.0000,0.5000,3
20.0000,5.0000,0.5500,3
20.0000,5.0000,0.6000,3
20.0000,5.0000,0.6500,3
20.0000,5.0000,0.7000,3
20.0000,5.0000,0.7500,3
20.0000,5.0000,0.8000,3
20.0000,5.0000,0.8500,3
20.0000,5.0000,0.9000,3
20.0000,5.0000,0.9500,3
20.0000,5.0000,1.0000,3
20.0000,5.0000,1.0500,3
20.0000,5.0000,1.1000,3
20.0000,5.0000,1.1500,3
20.0000,5.0000,1.2000,3
20.0000,5.0000,1.2500,3
20.0000,5.0000,1.3000,3
20.0000,5.0000,1.3500,3
20.0000,5.0000,1.4000,3
20.0000,5.0000,1.4500,3
20.0000,5.0000,1.5000,3
20.0000,5.0000,1.5500,3
20.0000,5.0000,1.6000,3
20.0000,5.0000,1.6500,3
20.0000,5.0000,1.7000,3
20.0000,5.0000,1.7500,3
12.0000,-3.0000,-0.0250,1
12.0000,-3.0000,-0.0225,1
12.0000,-3.0000,-0.0200,1
12.0000,-3.0000,-0.0175,1
12.0000,-3.0000,-0.0150,1
12.0000,-3.0000,-0.0125,1
12.0000,-3.0000,-0.0100,1
12.0000,-3.0000,-0.0075,1
12.0000,-3.0000,-0.0050,1
12.0000,-3.0000,-0.0025,1
12.0000,-3.0000,-0.0000,1
12.0000,-3.0000,0.0025,1
12.0000,-3.0000,0.0050,1
12.0000,-3.0000,0.0075,1
12.0000,-3.0000,0.0100,1
12.0000,-3.0000,0.0125,1
12.0000,-3.0000,0.0150,1
12.0000,-3.0000,0.0175,1
12.0000,-3.0000,0.0200,1
12.0000,-3.0000,0.0225,1
6.0000,4.0000,-0.1000,5
6.0000,4.0000,-0.0900,5
6.0000,4.0000,-0.0800,5
6.0000,4.0000,-0.0700,5
6.0000,4.0000,-0.0600,5
10.0000,0.0000,20.0000,7
10.0000,0.0000,22.0000,7
10.0000,0.0000,24.0000,7
10.0000,0.0000,26.0000,7
10.0000,0.0000,28.0000,7
